Food,Measure,Grams,Calories,Protein,Fat,Sat.Fat,Fiber,Carbs,Category
roasted and salted,1/2 cup,1.0,6.271428571428571,0.18571428571428572,0.5714285714285714,0.44285714285714284,0.025714285714285714,0.18571428571428572,Seeds and Nuts
Brazil nuts,1/2 cup,1.0,6.5285714285714285,0.14285714285714285,0.6714285714285714,0.44285714285714284,0.02857142857142857,0.1,Seeds and Nuts
Cashews,1/2 cup,1.0,5.6,0.17142857142857143,0.45714285714285713,0.4,0.012857142857142857,0.2857142857142857,Seeds and Nuts
coconut sweetened,1/2 cup,1.0,5.48,0.02,0.4,0.38,0.04,0.52,Seeds and Nuts
Peanut butter,1/3 cup,1.0,6.0,0.24,0.5,0.34,0.018000000000000002,0.18,Seeds and Nuts
"Peanut butter, natural",1/3 cup,1.0,5.68,0.26,0.48,0.2,0.018000000000000002,0.16,Seeds and Nuts
Peanuts,1/3 cup,1.0,5.8,0.26,0.5,0.32,0.024,0.18,Seeds and Nuts
Pecans,1/2 cup,1.0,6.596153846153846,0.09615384615384616,0.6730769230769231,0.4807692307692308,0.021153846153846155,0.1346153846153846,Seeds and Nuts
Sesame seeds,1/2 cup,1.0,5.6,0.18,0.48,0.26,0.062,0.2,Seeds and Nuts
Sunflower seeds,1/2 cup,1.0,5.6,0.24,0.52,0.14,0.038,0.2,Seeds and Nuts
Walnuts,1/2 cup,1.0,6.5,0.14,0.64,0.14,0.02,0.16,Seeds and Nuts
Beer,2 cups,1.0,0.475,0.0,0.0,0.0,0.0,0.016666666666666666,"Drinks,Alcohol, Beverages"
Gin,1 oz.,1.0,2.5,0.0,0.0,0.0,0.0,0.0,"Drinks,Alcohol, Beverages"
Wines,1/2 cup,1.0,1.3666666666666667,0.0,0.0,0.0,0.0,0.075,"Drinks,Alcohol, Beverages"
Table (12.2% alcohol),1/2 cup,1.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.041666666666666664,"Drinks,Alcohol, Beverages"
Carbonated drinks Artificially sweetened,12 oz.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"Drinks,Alcohol, Beverages"
Club soda,12 oz.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"Drinks,Alcohol, Beverages"
Cola drinks,12 oz.,1.0,0.3959537572254335,0.0,0.0,0.0,0.0,0.10982658959537572,"Drinks,Alcohol, Beverages"
Fruit-flavored soda,12 oz.,1.0,0.4653179190751445,0.0,0.0,0.0,0.0,0.12138728323699421,"Drinks,Alcohol, Beverages"
Ginger ale,12 oz.,1.0,0.30346820809248554,0.0,0.0,0.0,0.0,0.08092485549132948,"Drinks,Alcohol, Beverages"
Root beer,12 oz.,1.0,0.4046242774566474,0.0,0.0,0.0,0.0,0.10115606936416185,"Drinks,Alcohol, Beverages"
Coffee,1 cup,1.0,0.013043478260869565,0.0,0.0,0.0,0.0,0.004347826086956522,"Drinks,Alcohol, Beverages"
Tea,1 cup,1.0,0.017391304347826087,0.0,0.0,0.0,0.0,0.004347826086956522,"Drinks,Alcohol, Beverages"
